iter	MultiClass
0	-1.360867978
1	-1.348043692
2	-1.331447619
3	-1.316533195
4	-1.30409437
5	-1.287623255
6	-1.274031778
7	-1.260676622
8	-1.249359245
9	-1.23827692
10	-1.21930693
11	-1.204689871
12	-1.190748895
13	-1.180100485
14	-1.162683125
15	-1.151592106
16	-1.140853639
17	-1.131316384
18	-1.120094204
19	-1.11020308
20	-1.099231902
21	-1.089024298
22	-1.079341014
23	-1.066898462
24	-1.057270293
25	-1.050328606
26	-1.043746633
27	-1.033670299
28	-1.024308522
29	-1.016949546
30	-1.009427796
31	-0.9993916543
32	-0.989682499
33	-0.9785029334
34	-0.9676900361
35	-0.9606274835
36	-0.9551424478
37	-0.9484740006
38	-0.9389942741
39	-0.9318514894
40	-0.9231383751
41	-0.9184575898
42	-0.9110840202
43	-0.9014433904
44	-0.8967138988
45	-0.888783939
46	-0.8828402458
47	-0.872740421
48	-0.8642249874
49	-0.8580884481
50	-0.8512273233
51	-0.8443635969
52	-0.8376240689
53	-0.8307419547
54	-0.8241505889
55	-0.8175497334
56	-0.8119035758
57	-0.8071234901
58	-0.8019786918
59	-0.7963313356
60	-0.7902908883
61	-0.7837101399
62	-0.7754628835
63	-0.7690070014
64	-0.7625884808
65	-0.7565726163
66	-0.7497899586
67	-0.7435311691
68	-0.7387882288
69	-0.7331501686
70	-0.727067854
71	-0.7216569682
72	-0.7158583719
73	-0.7094369589
74	-0.7037445736
75	-0.6985522277
76	-0.6935800613
77	-0.6884432134
78	-0.6827996318
79	-0.6790463441
80	-0.6735197551
81	-0.6702844447
82	-0.6656821373
83	-0.6613615581
84	-0.6552994842
85	-0.651347619
86	-0.6467360767
87	-0.6422172387
88	-0.6387223972
89	-0.6334993855
90	-0.6290320338
91	-0.6253402481
92	-0.6223487576
93	-0.6179195377
94	-0.6119189882
95	-0.6071319772
96	-0.6021587946
97	-0.5981192357
98	-0.59410302
99	-0.5920759639
100	-0.5880505192
101	-0.5839180691
102	-0.5796244932
103	-0.5766770001
104	-0.5724159373
105	-0.569336599
106	-0.5655727373
107	-0.5606866125
108	-0.5568391337
109	-0.5544081395
110	-0.5516369626
111	-0.5484584063
112	-0.5456418032
113	-0.5421391793
114	-0.5385497508
115	-0.5341409642
116	-0.5310510501
117	-0.5279706986
118	-0.5254225957
119	-0.522669393
120	-0.5191736214
121	-0.5163304151
122	-0.5136154678
123	-0.5104954543
124	-0.5067863321
125	-0.5043312895
126	-0.5020949407
127	-0.4997687673
128	-0.4959983745
129	-0.4932817084
130	-0.4910249708
131	-0.4881284453
132	-0.4852281829
133	-0.4822362645
134	-0.4794653974
135	-0.4765801337
136	-0.4732724511
137	-0.4703769278
138	-0.4663783625
139	-0.4635937642
140	-0.460550744
141	-0.4574633831
142	-0.4545159628
143	-0.4516491121
144	-0.449040429
145	-0.4456347676
146	-0.442780128
147	-0.440450253
148	-0.4377724285
149	-0.4357054262
150	-0.4334207546
151	-0.4312766662
152	-0.4292494974
153	-0.427124247
154	-0.4242514813
155	-0.4210439882
156	-0.4189126158
157	-0.4157434768
158	-0.4141886607
159	-0.4120308114
160	-0.4093623204
161	-0.407033266
162	-0.4041615281
163	-0.4010075336
164	-0.3986720158
165	-0.3964210164
166	-0.3939472864
167	-0.3918458741
168	-0.3890780239
169	-0.3867060054
170	-0.3846718018
171	-0.3817920593
172	-0.3800905882
173	-0.3781647325
174	-0.3762661413
175	-0.3744261503
176	-0.3729713965
177	-0.3710719862
178	-0.3692504182
179	-0.3670691825
180	-0.3645424965
181	-0.362401088
182	-0.3604384476
183	-0.3585614444
184	-0.3560736776
185	-0.3537001278
186	-0.3521972624
187	-0.3503889686
188	-0.3481533226
189	-0.3458540008
190	-0.3439084759
191	-0.3419053914
192	-0.3400659041
193	-0.3378050043
194	-0.3361561192
195	-0.3342641719
196	-0.3324173861
197	-0.3308191034
198	-0.3291967837
199	-0.3272753998
