iter	Passed	Remaining
0	78	15700
1	97	9689
2	114	7495
3	129	6351
4	144	5644
5	159	5164
6	171	4729
7	183	4398
8	198	4209
9	213	4056
10	228	3925
11	243	3810
12	258	3714
13	278	3696
14	296	3662
15	312	3594
16	328	3530
17	342	3467
18	351	3352
19	367	3303
20	381	3254
21	393	3183
22	405	3117
23	420	3080
24	434	3043
25	449	3008
26	464	2977
27	475	2919
28	496	2926
29	511	2898
30	526	2872
31	541	2845
32	556	2818
33	571	2792
34	586	2766
35	601	2741
36	617	2718
37	633	2699
38	642	2651
39	657	2629
40	679	2636
41	700	2635
42	720	2629
43	735	2608
44	751	2586
45	766	2565
46	781	2543
47	796	2521
48	811	2500
49	826	2479
50	838	2450
51	853	2430
52	875	2427
53	891	2409
54	906	2390
55	921	2370
56	937	2351
57	960	2352
58	981	2344
59	1000	2333
60	1024	2333
61	1039	2313
62	1051	2285
63	1075	2285
64	1107	2301
65	1128	2291
66	1152	2286
67	1178	2286
68	1199	2277
69	1219	2264
70	1239	2251
71	1259	2239
72	1277	2223
73	1292	2201
74	1312	2186
75	1337	2182
76	1358	2170
77	1379	2158
78	1400	2145
79	1423	2135
80	1445	2123
81	1468	2113
82	1487	2096
83	1500	2071
84	1526	2065
85	1548	2053
86	1570	2039
87	1591	2025
88	1611	2009
89	1633	1997
90	1650	1977
91	1675	1966
92	1696	1951
93	1716	1935
94	1741	1924
95	1759	1906
96	1779	1889
97	1798	1872
98	1817	1854
99	1831	1831
100	1842	1805
101	1863	1790
102	1881	1771
103	1901	1754
104	1919	1736
105	1940	1721
106	1963	1706
107	1986	1692
108	2008	1676
109	2030	1661
110	2048	1642
111	2069	1626
112	2085	1605
113	2105	1588
114	2124	1570
115	2144	1552
116	2167	1537
117	2191	1522
118	2212	1506
119	2239	1492
120	2264	1478
121	2285	1461
122	2299	1439
123	2311	1416
124	2332	1399
125	2353	1382
126	2367	1360
127	2387	1343
128	2408	1325
129	2426	1306
130	2444	1287
131	2463	1269
132	2475	1247
133	2493	1228
134	2511	1209
135	2530	1191
136	2549	1172
137	2571	1155
138	2592	1137
139	2613	1120
140	2632	1101
141	2653	1083
142	2674	1065
143	2693	1047
144	2701	1024
145	2717	1004
146	2736	986
147	2755	968
148	2775	950
149	2795	931
150	2815	913
151	2834	895
152	2841	872
153	2858	853
154	2882	836
155	2901	818
156	2919	799
157	2938	781
158	2959	763
159	2980	745
160	2999	726
161	3018	707
162	3037	689
163	3058	671
164	3076	652
165	3095	633
166	3107	614
167	3127	595
168	3146	577
169	3165	558
170	3188	540
171	3208	522
172	3226	503
173	3243	484
174	3264	466
175	3278	447
176	3296	428
177	3314	409
178	3332	390
179	3346	371
180	3363	353
181	3380	334
182	3400	315
183	3419	297
184	3438	278
185	3457	260
186	3476	241
187	3491	222
188	3511	204
189	3531	185
190	3547	167
191	3568	148
192	3586	130
193	3606	111
194	3625	92
195	3644	74
196	3662	55
197	3680	37
198	3701	18
199	3716	0
