Отметка времени,"Какая у Вас профессия, должность в Вашей компании?",1)Что Вы видите на картинке?,2)Что Вы видите на картинке?,3)Что Вы видите на картинке?,4)Что Вы видите на картинке?,5)Что Вы видите на картинке?,6)Что Вы видите на картинке? (необязательный вопрос),7)Что Вы видите на картинке,8)Что Вы видите на картинке?,9)Что Вы видите на картинке? (необязательный вопрос),10)Что Вы видите на картинке?,"Если У Вас где-то выбран ответ ""иное"", то напишите номер картинки и ваш ответ сюда",Любите решать задачи по математике?,Стартап или крупная компания?,Что вам больше нравится?,Вы хорошо рисуете?,Красота или функциональность?,Учить или учиться?,Игры или социальные сети?,Руководить или действовать по готовому плану?,Эгоизм или альтруизм?,Как вы отдыхаете?,Интересная работа или хорошая зарплата?
12.12.2018 14:46:31,Другое,Бабочки,Иное,"Два разных человека, взаимодействующих друг с другом",Монстр,Моль,Иное,Головы женщин,Иное,"Что-то, связанное с человеком",Краб,,Очень!,Свобода и стартап,Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 14:48:36,Другое,Летучая мышь,Медведь,Зеркало с одним человеком,Монстр,Летучая мышь,Иное,Иное,Иное,Иное,Иное,,"Умею, но не люблю",Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,Функциональность,"Хватит учебы, хочу работать","Конечно, игры!","Пусть четко скажут, что делать",Каждый сам за себя,За компьютером,Без денег никуда
12.12.2018 14:54:44,Другое,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Иное,Головы детей,Иное,"Что-то, связанное со злом",Краб,2.кролики 8.крысы,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,Красота,Учиться всю жизнь!,"Естественно, соцсети!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",С книжкой в одиночестве,Без денег никуда
12.12.2018 14:59:25,Другое,Иное,Иное,Иное,Монстр,Моль,Иное,Поцелуй,Четырехлапое животное,Иное,Иное,"1 - два ангела / 2 - два шута дают ""пять"" / 3 - две обезьяны напротив друг друга / 6 - енот / 9 - две креветки / 10 - жуки-носороги машут опахалами, две шиншилы на обрыве  ",Я гуманитарий,"Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:02:20,Другое,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Большое животное,Моль,Иное,Иное,Иное,"Что-то, связанное с человеком",Иное,,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:03:16,Другое,Иное,Медведь,"Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Иное,Головы женщин,Иное,"Что-то, связанное со злом",Иное,1. Маска 6. Дракон вид сверху 8. Два зверя идут по лесу 10. Цветной парад зверей,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:03:16,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Иное,Головы женщин,Четырехлапое животное,Иное,Краб,9. Три животных друг за другом с двух сторон,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,Без денег никуда
12.12.2018 15:03:24,Другое,Летучая мышь,Медведь,Иное,Шкура животного,Моль,Иное,Поцелуй,Иное,"Что-то, связанное с человеком",Гусениц,6) грызун,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,Красота,Учиться всю жизнь!,"Естественно, соцсети!",Хочу быть начальником,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:03:35,Другое,Моль,"Что-то, связанное с сексуальными вещами","Два разных человека, взаимодействующих друг с другом",Шкура монстра,Летучая мышь,Шкура животного,Иное,Четырехлапое животное,"Что-то, связанное с человеком",Краб,7. два зайца,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,Функциональность,"Хватит учебы, хочу работать","Конечно, игры!","Пусть четко скажут, что делать",Главное в жизни - друзья!,За компьютером,Хочу заниматься интересным делом
12.12.2018 15:06:02,Другое,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Иное,Иное,Четырехлапое животное,Иное,Краб,9 бокал,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Рисую для себя,"Важно и то, и другое",Люблю учить!,"Конечно, игры!",Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
